Atom Num Conju-All Ratio,AtomWt Conju-All Ratio,Atom_PEOE-Charge_Sum,Atom_LogP_Sum,Atom_MR_Sum,Atom_PEOE-Charge_Mean,Atom_LogP_Mean,Atom_MR_Mean,Atom_PEOE-Charge_Std,Atom_LogP_Std,Atom_MR_Std,Atom_PEOE-Charge_Max,Atom_LogP_Max,Atom_MR_Max,Atom_PEOE-Charge_Min,Atom_LogP_Min,Atom_MR_Min,Atom_PEOE-Charge_Delta,Atom_LogP_Delta,Atom_MR_Delta
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.6875,0.634938304,3.19E-16,5.6551,125.882,5.60E-18,0.099212281,2.20845614,0.113695308,0.213993916,1.321439713,0.415911609,0.8612,6.92,-0.475173467,-0.5443,1.057,0.891085076,1.4055,5.863
0.823529412,0.759817015,-4.02E-16,5.9817,131.822,-7.32E-18,0.108758182,2.396763636,0.117765956,0.213777719,1.348687564,0.415911609,0.8612,6.92,-0.474814097,-0.5443,1.057,0.890725706,1.4055,5.863
0.333333333,0.332995189,6.66E-16,2.6732,73.26,1.59E-17,0.063647619,1.744285714,0.139088606,0.130582521,1.009671005,0.272995135,0.1836,5.007,-0.471817372,-0.2783,1.057,0.744812507,0.4619,3.95
0.642857143,0.610152119,1.39E-16,1.883,55.352,4.96E-18,0.06725,1.976857143,0.132420188,0.140077809,1.100319912,0.235239412,0.1836,5.007,-0.474100379,-0.3239,1.057,0.70933979,0.5075,3.95
0.473684211,0.435472279,-2.78E-16,8.2482,166.332,-3.15E-18,0.093729545,1.890136364,0.079326487,0.139056932,1.050696708,0.17177693,0.4619,5.007,-0.321430907,-0.4458,1.057,0.493207837,0.9077,3.95
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
0.8,0.741095185,0,5.9064,134.447,0,0.105471429,2.400839286,0.116140992,0.212887014,1.338731486,0.415911609,0.8612,6.92,-0.471137667,-0.5443,1.057,0.887049277,1.4055,5.863
