Full-Mol Wiener Index,Individual Conju-Atom Number (Max-Conju),Conju-Part-Wt (Max-Conju),Conju-AtomicWt (Max-Conju),Max Conju-Distance (Max-Conju),Conju-Branch Index (Max-Conju),Conju-Strut Wiener Index (Max-Conju),Conju-Strut-VSA (Max-Conju),Fun_PEOE-Charge_Sum,Fun_LogP_Sum,Fun_MR_Sum,Fun_PEOE-Charge_Mean,Fun_LogP_Mean,Fun_MR_Mean,Fun_PEOE-Charge_Std,Fun_LogP_Std,Fun_MR_Std,Fun_PEOE-Charge_Max,Fun_LogP_Max,Fun_MR_Max,Fun_PEOE-Charge_Min,Fun_LogP_Min,Fun_MR_Min,Fun_PEOE-Charge_Delta,Fun_LogP_Delta,Fun_MR_Delta,Mid-Fun_PEOE-Charge_Sum,Mid-Fun_LogP_Sum,Mid-Fun_MR_Sum,Mid-Fun_PEOE-Charge_Mean,Mid-Fun_LogP_Mean,Mid-Fun_MR_Mean,Mid-Fun_PEOE-Charge_Std,Mid-Fun_LogP_Std,Mid-Fun_MR_Std,Mid-Fun_PEOE-Charge_Max,Mid-Fun_LogP_Max,Mid-Fun_MR_Max,Mid-Fun_PEOE-Charge_Min,Mid-Fun_LogP_Min,Mid-Fun_MR_Min,Mid-Fun_PEOE-Charge_Delta,Mid-Fun_LogP_Delta,Mid-Fun_MR_Delta,Conju_PEOE-Charge_Sum,Conju_LogP_Sum,Conju_MR_Sum,Conju_PEOE-Charge_Mean,Conju_LogP_Mean,Conju_MR_Mean,Conju_PEOE-Charge_Std,Conju_LogP_Std,Conju_MR_Std,Conju_PEOE-Charge_Max,Conju_LogP_Max,Conju_MR_Max,Conju_PEOE-Charge_Min,Conju_LogP_Min,Conju_MR_Min,Conju_PEOE-Charge_Delta,Conju_LogP_Delta,Conju_MR_Delta
2.864705882,22,289.189,1.144954545,8,1.75,2.077922078,317.5547966,-0.533454305,6.8104,120.883,-0.048495846,0.619127273,10.98936364,0.209650566,0.445468362,10.96533553,0.415911609,1.3964,26.076,-0.471137667,-0.0967,1.085,0.887049277,1.4931,24.991,-0.275961041,15.1572,278.435,-0.030662338,1.684133333,30.93722222,0.16873922,0.845040754,21.99118462,0.146843177,3.1546,83.352,-0.471137667,-0.0684,1.085,0.617980845,3.223,82.267,-0.390081137,4.3879,116.518,-0.195040569,2.19395,58.259,0.150903013,0.79755,33.613,-0.044137556,2.9915,91.872,-0.345943581,1.3964,24.646,0.301806025,1.5951,67.226
2.864705882,22,289.189,1.144954545,8,1.75,2.077922078,317.5547966,-0.533454305,6.8104,120.883,-0.048495846,0.619127273,10.98936364,0.209650566,0.445468362,10.96533553,0.415911609,1.3964,26.076,-0.471137667,-0.0967,1.085,0.887049277,1.4931,24.991,-0.275961041,15.1572,278.435,-0.030662338,1.684133333,30.93722222,0.16873922,0.845040754,21.99118462,0.146843177,3.1546,83.352,-0.471137667,-0.0684,1.085,0.617980845,3.223,82.267,-0.390081137,4.3879,116.518,-0.195040569,2.19395,58.259,0.150903013,0.79755,33.613,-0.044137556,2.9915,91.872,-0.345943581,1.3964,24.646,0.301806025,1.5951,67.226
2.686491935,22,289.189,1.144954545,8,1.5,2.077922078,317.5547966,-0.493377652,5.414,96.237,-0.049337765,0.5414,9.6237,0.220653251,0.389652987,10.57104691,0.415911609,1.1639,26.076,-0.475173467,-0.0967,1.085,0.891085076,1.2606,24.991,-0.303887614,12.0259,223.609,-0.043412516,1.717985714,31.94414286,0.18851496,0.951198888,24.79994159,0.146818074,3.1546,83.352,-0.475173467,-0.0684,1.085,0.621991541,3.223,82.267,-0.355311621,2.9915,91.872,-0.355311621,2.9915,91.872,0,0,0,-0.355311621,2.9915,91.872,-0.355311621,2.9915,91.872,0,0,0
2.867201426,22,289.189,1.144954545,8,1.75,2.077922078,317.5547966,-0.500453249,6.9555,121.781,-0.04549575,0.632318182,11.071,0.210663494,0.46977434,11.06955214,0.415911609,1.5415,26.076,-0.474814097,-0.0967,1.085,0.890725706,1.6382,24.991,-0.242996564,15.3023,279.333,-0.026999618,1.700255556,31.037,0.169880332,0.840770767,21.96443483,0.146830984,3.1546,83.352,-0.474814097,-0.0684,1.085,0.621645081,3.223,82.267,-0.357733828,4.533,117.416,-0.178866914,2.2665,58.708,0.171419036,0.725,33.164,-0.007447877,2.9915,91.872,-0.35028595,1.5415,25.544,0.342838073,1.45,66.328
2.140522876,6,84.034,2.005666667,3,1,0.966666667,70.10092081,-0.943634745,-0.1368,2.17,-0.471817372,-0.0684,1.085,0,0,0,-0.471817372,-0.0684,1.085,-0.471817372,-0.0684,1.085,0,0,0,-0.943634745,-0.1368,2.17,-0.471817372,-0.0684,1.085,0,0,0,-0.471817372,-0.0684,1.085,-0.471817372,-0.0684,1.085,0,0,0,-0.876999551,-0.3262,17.04,-0.876999551,-0.3262,17.04,0,0,0,-0.876999551,-0.3262,17.04,-0.876999551,-0.3262,17.04,0,0,0
1.708791209,9,116.079,0.897666667,5,1,1.222222222,132.0879743,-0.430899516,0.8681,24.424,-0.215449758,0.43405,12.212,0.25865062,0.50245,11.127,0.043200862,0.9365,23.339,-0.474100379,-0.0684,1.085,0.517301241,1.0049,22.254,-0.430899516,0.8681,24.424,-0.215449758,0.43405,12.212,0.25865062,0.50245,11.127,0.043200862,0.9365,23.339,-0.474100379,-0.0684,1.085,0.517301241,1.0049,22.254,-0.438253287,0.7734,31.859,-0.438253287,0.7734,31.859,0,0,0,-0.438253287,0.7734,31.859,-0.438253287,0.7734,31.859,0,0,0
3.236842105,18,224.182,0.454555556,11,0,2.232026144,217.1091851,-1.330385669,1.472,76.554,-0.221730945,0.245333333,12.759,0.206116736,1.045088489,9.308717241,0.065334343,1.7223,25.204,-0.40909627,-0.5405,2.819,0.474430613,2.2628,22.385,-2.193240251,3.6462,162.34,-0.548310063,0.91155,40.585,0.204548135,0.27025,5.127,-0.343761928,1.1818,45.712,-0.752858198,0.6413,35.458,0.40909627,0.5405,10.254,-0.687523855,2.3636,70.916,-0.687523855,2.3636,70.916,0,0,0,-0.687523855,2.3636,70.916,-0.687523855,2.3636,70.916,0,0,0
2.864705882,22,289.189,1.144954545,8,1.75,2.077922078,317.5547966,-0.533454305,6.8104,120.883,-0.048495846,0.619127273,10.98936364,0.209650566,0.445468362,10.96533553,0.415911609,1.3964,26.076,-0.471137667,-0.0967,1.085,0.887049277,1.4931,24.991,-0.275961041,15.1572,278.435,-0.030662338,1.684133333,30.93722222,0.16873922,0.845040754,21.99118462,0.146843177,3.1546,83.352,-0.471137667,-0.0684,1.085,0.617980845,3.223,82.267,-0.390081137,4.3879,116.518,-0.195040569,2.19395,58.259,0.150903013,0.79755,33.613,-0.044137556,2.9915,91.872,-0.345943581,1.3964,24.646,0.301806025,1.5951,67.226
2.864705882,22,289.189,1.144954545,8,1.75,2.077922078,317.5547966,-0.533454305,6.8104,120.883,-0.048495846,0.619127273,10.98936364,0.209650566,0.445468362,10.96533553,0.415911609,1.3964,26.076,-0.471137667,-0.0967,1.085,0.887049277,1.4931,24.991,-0.275961041,15.1572,278.435,-0.030662338,1.684133333,30.93722222,0.16873922,0.845040754,21.99118462,0.146843177,3.1546,83.352,-0.471137667,-0.0684,1.085,0.617980845,3.223,82.267,-0.390081137,4.3879,116.518,-0.195040569,2.19395,58.259,0.150903013,0.79755,33.613,-0.044137556,2.9915,91.872,-0.345943581,1.3964,24.646,0.301806025,1.5951,67.226
2.864705882,22,289.189,1.144954545,8,1.75,2.077922078,317.5547966,-0.533454305,6.8104,120.883,-0.048495846,0.619127273,10.98936364,0.209650566,0.445468362,10.96533553,0.415911609,1.3964,26.076,-0.471137667,-0.0967,1.085,0.887049277,1.4931,24.991,-0.275961041,15.1572,278.435,-0.030662338,1.684133333,30.93722222,0.16873922,0.845040754,21.99118462,0.146843177,3.1546,83.352,-0.471137667,-0.0684,1.085,0.617980845,3.223,82.267,-0.390081137,4.3879,116.518,-0.195040569,2.19395,58.259,0.150903013,0.79755,33.613,-0.044137556,2.9915,91.872,-0.345943581,1.3964,24.646,0.301806025,1.5951,67.226
