Atom Num Conju-All Ratio,AtomWt Conju-All Ratio,Atom_PEOE-Charge_Sum,Atom_LogP_Sum,Atom_MR_Sum,Atom_PEOE-Charge_Mean,Atom_LogP_Mean,Atom_MR_Mean,Atom_PEOE-Charge_Std,Atom_LogP_Std,Atom_MR_Std,Atom_PEOE-Charge_Max,Atom_LogP_Max,Atom_MR_Max,Atom_PEOE-Charge_Min,Atom_LogP_Min,Atom_MR_Min,Atom_PEOE-Charge_Delta,Atom_LogP_Delta,Atom_MR_Delta
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
0.5625,0.526971689,1.67E-16,2.7148,60.3255,5.20E-18,0.0848375,1.885171875,0.137341761,0.112864332,1.142387034,0.337582784,0.1581,5.007,-0.462406518,-0.2783,0.2215,0.799989301,0.4364,4.7855
