Atom Num Conju-All Ratio,AtomWt Conju-All Ratio,Atom_PEOE-Charge_Sum,Atom_LogP_Sum,Atom_MR_Sum,Atom_PEOE-Charge_Mean,Atom_LogP_Mean,Atom_MR_Mean,Atom_PEOE-Charge_Std,Atom_LogP_Std,Atom_MR_Std,Atom_PEOE-Charge_Max,Atom_LogP_Max,Atom_MR_Max,Atom_PEOE-Charge_Min,Atom_LogP_Min,Atom_MR_Min,Atom_PEOE-Charge_Delta,Atom_LogP_Delta,Atom_MR_Delta
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
0,0,1.25E-16,0.7968,20.053,9.61E-18,0.061292308,1.542538462,0.113546229,0.12441462,0.726992182,0.056666837,0.1441,2.753,-0.381476092,-0.2035,1.057,0.438142928,0.3476,1.696
