fold,recall_macro,f1_macro,auc
1,0.7432771331883007,0.7443977591036415,0.8052785835146241
2,0.7127296350012087,0.7136469925127009,0.7937817258883249
3,0.7227912738699541,0.7237923152952805,0.8164430746918057
4,0.7606961566352429,0.761662515944846,0.8329103214890016
5,0.6949631375392797,0.6955011527727217,0.7824359439207156
6,0.7149202320522118,0.7153381944286699,0.8037980420594633
7,0.7540502750843491,0.7539326269416278,0.8433083072433813
8,0.7634882519225508,0.7627046694966646,0.8583087631842913
9,0.7470238095238095,0.748371635737987,0.8068816812439261
10,0.7614795918367347,0.7628591794345103,0.8367498785228378
