fold,recall_macro,f1_macro,auc
1,0.7765151515151515,0.7729591836734694,0.8686868686868687
2,0.743933265925177,0.7410499683744465,0.8473205257836197
3,0.7353387259858444,0.7261538461538461,0.8629929221435794
4,0.7960060667340748,0.7964939024390244,0.9049544994944388
5,0.781850353892821,0.7687110187110187,0.833164812942366
6,0.7338220424671386,0.7286585365853658,0.8392315470171892
7,0.7403100775193798,0.7377898691540354,0.8077519379844962
8,0.7423772609819121,0.7328052805280528,0.8299741602067183
9,0.7852713178294574,0.7838396897220427,0.9204134366925064
10,0.7392764857881138,0.7386026088079556,0.835142118863049
