fold,recall_macro,f1_macro,auc
1,0.8133007009910563,0.8144269659510854,0.8769790911288373
2,0.7730390379502055,0.7734909487195012,0.8587895818225767
3,0.7779338892917573,0.7801612305411416,0.8708303118201595
4,0.813738820401257,0.8146351446611435,0.8898054145516076
5,0.7739152767706068,0.7739152767706068,0.8435158327290307
6,0.7805626057529611,0.782379379930288,0.8535019337684312
7,0.7798869266543056,0.7807011523179818,0.8513936593817442
8,0.8178972005228122,0.8176020408163265,0.8834159092981549
9,0.780187074829932,0.7809417159921079,0.8748785228377065
10,0.7869897959183674,0.7891419700164515,0.8796616861030127
