fold,recall_macro,f1_macro,auc
1,0.7762626262626262,0.7738821138211383,0.8651515151515151
2,0.7555611729019212,0.7520263424518744,0.8225480283114257
3,0.7360970677451971,0.7244582043343653,0.8776541961577351
4,0.8432760364004044,0.8426767676767677,0.9125379170879676
5,0.800556117290192,0.797112462006079,0.8549039433771486
6,0.7168857431749243,0.7168130329642357,0.8361981799797775
7,0.724547803617571,0.7221052631578948,0.8687338501291989
8,0.7423772609819121,0.7328052805280528,0.8749354005167957
9,0.821705426356589,0.8147368421052632,0.9064599483204134
10,0.762015503875969,0.7613328167376985,0.8258397932816537
