fold,recall_macro,f1_macro,auc
1,0.8175006043026347,0.8192917913915103,0.8782179115300943
2,0.7844150350495528,0.7859302759560969,0.8671591733139956
3,0.7848531544597535,0.786210358965777,0.8676426154218032
4,0.8264291757312061,0.8279663078513653,0.8928571428571429
5,0.7740059221658206,0.772164940700464,0.8432892192409959
6,0.7758339376359681,0.7779548902287831,0.8423827652888567
7,0.7858749506064013,0.7864874953340799,0.8573360892428341
8,0.8056627861029211,0.8042936655181554,0.8786437277728806
9,0.8163265306122449,0.8170854271356784,0.8833515549076775
10,0.7704081632653061,0.7722722722722722,0.8790846695821186
