fold,recall_macro,f1_macro,auc
1,0.7547979797979798,0.7455821205821206,0.8661616161616162
2,0.717391304347826,0.6869588744588745,0.8361981799797775
3,0.7027300303336703,0.6889320388349515,0.8094034378159757
4,0.800556117290192,0.797112462006079,0.8993933265925177
5,0.7990394337714863,0.7977272727272727,0.8629929221435794
6,0.7401415571284126,0.7403931515535828,0.8523761375126391
7,0.7852713178294574,0.7838396897220427,0.8661498708010336
8,0.7444444444444445,0.7228536217992606,0.8258397932816537
9,0.8211886304909561,0.815803244374673,0.925064599483204
10,0.7488372093023257,0.7488323819408407,0.8490956072351421
