fold,recall_macro,f1_macro,auc
1,0.8329103214890017,0.8321510150849234,0.8884306260575296
2,0.7679628958182259,0.768190890945382,0.8628081943437274
3,0.7801244863427604,0.7820461783439491,0.8662829344935944
4,0.8201293207638385,0.8205384225535359,0.8876903553299493
5,0.7606961566352429,0.761662515944846,0.8535321489001692
6,0.7946579647087262,0.7953787878787879,0.8653462654097172
7,0.7884130216723912,0.7891463414634147,0.8573512872731694
8,0.7786558861971489,0.7746640495243847,0.8644183713790693
9,0.78656462585034,0.7869160299540046,0.8845815111758989
10,0.8018707482993197,0.8029086305642621,0.8870414237123421
