fold,recall_macro,f1_macro,auc
1,0.8088383838383838,0.8088922571681192,0.8641414141414141
2,0.7353387259858444,0.7261538461538461,0.827098078867543
3,0.7135995955510617,0.7014963880288958,0.8255813953488372
4,0.7649140546006066,0.7640449438202247,0.9004044489383216
5,0.7656723963599595,0.7639257294429709,0.8533872598584429
6,0.7641557128412538,0.7639257294429709,0.8387259858442871
7,0.7281653746770026,0.7271317829457364,0.8062015503875969
8,0.740826873385013,0.7369720597790773,0.835142118863049
9,0.8165374677002584,0.8166666666666667,0.917312661498708
10,0.7255813953488373,0.725,0.8372093023255813
