fold,recall_macro,f1_macro,auc
1,0.7468576262992507,0.747674710910005,0.824253686246072
2,0.6987098138747885,0.6907314023412114,0.8068195552332608
3,0.7686578438481992,0.7705036191878297,0.8403432438965434
4,0.7303148416727097,0.7304707139265962,0.7989485134155185
5,0.664053057771332,0.6587012987012988,0.7544869470630892
6,0.739243413101281,0.7399979647590196,0.8164732898235436
7,0.7045806863430499,0.7051713395638629,0.8185355177968935
8,0.7299613970029484,0.7306250984096992,0.8218638864403174
9,0.7091836734693877,0.7047371836469825,0.8350340136054422
10,0.7130102040816326,0.7133880612141481,0.8305849125364433
