fold,recall_macro,f1_macro,auc
1,0.7525252525252526,0.7525278058645096,0.8262626262626263
2,0.685793731041456,0.6853535353535354,0.7775530839231547
3,0.712082912032356,0.7048469387755103,0.8149646107178968
4,0.7633973710819009,0.7635673624288425,0.8407482305358949
5,0.7128412537917088,0.7033333333333334,0.801314459049545
6,0.7353387259858444,0.7261538461538461,0.8104145601617796
7,0.7503875968992249,0.75,0.8108527131782945
8,0.7434108527131783,0.7285043594902749,0.8439276485788114
9,0.810077519379845,0.8037518037518038,0.8919896640826873
10,0.7222222222222222,0.6950796950796951,0.8227390180878553
