fold,recall_macro,f1_macro,auc
1,0.7543056562726613,0.7555109000121788,0.8177423253565386
2,0.731024897268552,0.7316359557034465,0.7979211989364274
3,0.746600797679478,0.7481137283768863,0.8069857384578196
4,0.7654248247522359,0.7655393916493483,0.8344966159052454
5,0.7598199178148417,0.7610674704664475,0.810082789460962
6,0.7509819917814842,0.7513925046921354,0.831459995165579
7,0.7755250919480836,0.7769607843137255,0.8581263868202682
8,0.7429861090002736,0.7428734191637234,0.8140824949086596
9,0.7576530612244898,0.7591925905412473,0.8417911807580175
10,0.7270408163265306,0.7278027042700608,0.8031310738581146
