fold,recall_macro,f1_macro,auc
1,0.7989898989898989,0.7956632653061224,0.8535353535353536
2,0.7709807886754296,0.7561643835616438,0.8488372093023255
3,0.7034883720930232,0.6864970645792563,0.8276036400404448
4,0.7649140546006066,0.7640449438202247,0.8791708796764408
5,0.7368554095045501,0.7224532224532225,0.8518705763397372
6,0.712082912032356,0.7048469387755103,0.8078867542972699
7,0.7635658914728682,0.7598440545808967,0.8103359173126614
8,0.7863049095607235,0.7827160493827161,0.8325581395348838
9,0.8085271317829457,0.8061925119834176,0.8883720930232557
10,0.7322997416020671,0.7153638814016172,0.8046511627906976
