fold,recall_macro,f1_macro,auc
1,0.7660291273869955,0.767984496124031,0.8447848682620256
2,0.729967367657723,0.730928307040483,0.8350555958423979
3,0.7626148175006042,0.7644264041492679,0.8653613729755862
4,0.7937817258883249,0.7949189090688209,0.8825688905003626
5,0.8039340101522843,0.8055200341005968,0.8677483683828862
6,0.7403009427121102,0.7414482553755455,0.8298434856175972
7,0.7509194808352837,0.7526072792894138,0.8402535031459922
8,0.75664913827168,0.758419509183516,0.8514848475637558
9,0.7818877551020408,0.7838796486926215,0.8744381681243927
10,0.7444727891156462,0.7452483741851266,0.8362487852283771
