fold,recall_macro,f1_macro,auc
1,0.797979797979798,0.7977272727272727,0.8565656565656565
2,0.7896865520728008,0.7855421686746988,0.833417593528817
3,0.6547017189079878,0.6500951173113507,0.7724974721941354
4,0.7446916076845298,0.7403931515535828,0.8410010111223458
5,0.724469160768453,0.7138999614247139,0.839231547017189
6,0.7424165824064712,0.7415730337078652,0.8324064711830131
7,0.7609819121447028,0.7610859728506787,0.8478036175710593
8,0.7974160206718346,0.7944992215879605,0.8643410852713178
9,0.7958656330749354,0.7954545454545454,0.8852713178294574
10,0.7751937984496124,0.7708333333333333,0.8550387596899224
