fold,recall_macro,f1_macro,auc
1,0.7477338651196519,0.7488584474885844,0.8318074691805656
2,0.7161439448875997,0.7169768290457945,0.7897782209330432
3,0.751238820401257,0.7528774542992552,0.8261723471114334
4,0.7807438965433889,0.7799481521673599,0.8570522117476432
5,0.7364485134155185,0.737739252736501,0.8260061638868745
6,0.7437152525985014,0.7447241987471873,0.8044627749576987
7,0.73458159822487,0.7350884409707938,0.8270768108453145
8,0.7341408553451473,0.7279706501800394,0.8535061855983465
9,0.754251700680272,0.7557046979865771,0.8466654518950437
10,0.7125850340136055,0.7134743015897516,0.796632045675413
