fold,recall_macro,f1_macro,auc
1,0.7856060606060606,0.7847779050528192,0.8494949494949495
2,0.7123356926188069,0.7041616806275761,0.8761375126390293
3,0.7105662285136501,0.7069402228976698,0.8311425682507584
4,0.7044994944388271,0.7033333333333334,0.8488372093023255
5,0.7401415571284126,0.7403931515535828,0.8235591506572295
6,0.7363498483316482,0.732941943900848,0.8083923154701719
7,0.7007751937984497,0.6944444444444444,0.8470284237726098
8,0.7059431524547803,0.7039337474120082,0.7855297157622738
9,0.7235142118863049,0.717948717948718,0.8981912144702843
10,0.740826873385013,0.7369720597790773,0.8330749354005167
