fold,recall_macro,f1_macro,auc
1,0.7294537104181775,0.7281058833266868,0.8137992506647329
2,0.7099347353154459,0.7087999759152216,0.7722232293932803
3,0.774700870195794,0.775650511075193,0.8169265167996133
4,0.761663040850858,0.7607747417904038,0.8402525985013295
5,0.7428390137781,0.7440548780487806,0.8322909112883732
6,0.7296350012086052,0.7231546774205662,0.7992355571670293
7,0.716298367731542,0.7174065106268497,0.8193866074956686
8,0.7427885346059151,0.7438423645320198,0.8431715249703639
9,0.7670068027210883,0.7688566737911594,0.8680454324586978
10,0.7066326530612245,0.7073593073593074,0.79165148202138
