fold,recall_macro,f1_macro,auc
1,0.7868686868686869,0.786408993305545,0.8469696969696969
2,0.7472194135490394,0.7434486373165619,0.8761375126390294
3,0.7952477249747218,0.7956632653061224,0.8559150657229525
4,0.692871587462083,0.691011958338691,0.8427704752275025
5,0.7454499494438827,0.7394679903270969,0.8185035389282104
6,0.6827603640040445,0.6821428571428572,0.7937310414560161
7,0.6764857881136951,0.6606060606060606,0.8620155038759689
8,0.6679586563307494,0.6652236652236652,0.7829457364341086
9,0.8069767441860465,0.8067932325971845,0.889405684754522
10,0.7645994832041343,0.7575757575757576,0.8480620155038759
