fold,recall_macro,f1_macro,auc
1,0.7760152284263959,0.7763632650282525,0.849090524534687
2,0.7694434372733865,0.7714888584877223,0.826550036258158
3,0.7648054145516074,0.7667120998606203,0.8403130287648054
4,0.8061246072032875,0.8066386147605498,0.8628535170413344
5,0.7365391588107324,0.737169234967293,0.8170322697606961
6,0.7568437273386512,0.7581290130932523,0.8415669567319315
7,0.7576218122131372,0.7592820028341993,0.8504513815009574
8,0.7752059333110428,0.7718385379299928,0.8549044043891912
9,0.7742346938775511,0.7751492827564117,0.8649173955296404
10,0.719812925170068,0.7189316860465116,0.8164328231292517
