fold,recall_macro,f1_macro,auc
1,0.7972222222222223,0.797112462006079,0.841919191919192
2,0.7649140546006066,0.7640449438202247,0.8518705763397372
3,0.7252275025278059,0.7119741100323624,0.8043478260869565
4,0.7416582406471183,0.7414424655803966,0.8640040444893833
5,0.7151162790697674,0.6968029350104822,0.795247724974722
6,0.7191607684529828,0.7189592017178223,0.8068756319514662
7,0.703359173126615,0.7031655422937209,0.8242894056847545
8,0.7297157622739019,0.725,0.7994832041343669
9,0.8180878552971576,0.8180878552971576,0.9250645994832042
10,0.7085271317829458,0.6968733439321675,0.8506459948320413
