fold,recall_macro,f1_macro,auc
1,0.7681290790427846,0.7701028763384421,0.8530184916606237
2,0.7622673434856175,0.7641102972856528,0.8568104906937395
3,0.8104151559100798,0.8099947943779282,0.8793207638385304
4,0.8155819434372734,0.8133834586466165,0.8822516316171138
5,0.803148416727097,0.8037768136352967,0.8647117476432197
6,0.7691866086536137,0.770111017521494,0.8452985255015711
7,0.7750691510380254,0.7766528608682313,0.8624578254658195
8,0.7824857898416365,0.7849703074961913,0.8639928265296817
9,0.7891156462585034,0.7895825727151029,0.8612123420796889
10,0.7517006802721089,0.7441791924550545,0.8287627551020409
