fold,recall_macro,f1_macro,auc
1,0.8095959595959596,0.8086021505376344,0.8878787878787879
2,0.6966632962588473,0.6964759378552483,0.827098078867543
3,0.7034883720930232,0.6864970645792563,0.7659251769464105
4,0.7896865520728008,0.7855421686746988,0.8579373104145602
5,0.7773003033367037,0.7750252780586451,0.865520728008089
6,0.7641557128412538,0.7639257294429709,0.8538928210313448
7,0.7266149870801033,0.7267080745341614,0.8387596899224806
8,0.7968992248062015,0.7950310559006211,0.8470284237726098
9,0.8085271317829457,0.8061925119834176,0.8780361757105943
10,0.7640826873385014,0.7588411849145243,0.8542635658914728
