fold,recall_macro,f1_macro,auc
1,0.7946579647087262,0.7953787878787879,0.8779610829103215
2,0.7857293932801548,0.7867294981825907,0.8487883732173073
3,0.7665578921924099,0.7682539682539683,0.8500423011844331
4,0.7743533961808073,0.7741063881173771,0.8534566110708243
5,0.7556200145032632,0.7564009222181773,0.8410835146241238
6,0.7810913705583756,0.7816671588336399,0.8407209330432681
7,0.7789750448341894,0.7801781141306425,0.8536429678713638
8,0.775661874221101,0.7718936631256277,0.8829903644487674
9,0.7857142857142857,0.7864874953340799,0.8794339164237123
10,0.7546768707482994,0.7555779385282178,0.830007896015549
