fold,recall_macro,f1_macro,auc
1,0.7747474747474747,0.7745694022289766,0.845959595959596
2,0.762639029322548,0.7629676601141407,0.8210313447927199
3,0.7206774519716885,0.7189592017178223,0.8316481294236602
4,0.7727502527805865,0.7729591836734694,0.917593528816987
5,0.7750252780586451,0.7750252780586451,0.8407482305358949
6,0.7633973710819009,0.7635673624288425,0.8321536905965622
7,0.7715762273901808,0.7716658017644007,0.8537467700258398
8,0.7715762273901808,0.7716658017644007,0.8392764857881136
9,0.7948320413436692,0.7950310559006211,0.918346253229974
10,0.7968992248062015,0.7950310559006211,0.8816537467700258
