fold,recall_macro,f1_macro,auc
1,0.8115482233502538,0.8134758102037236,0.8747733865119652
2,0.7200719120135364,0.7186260718912174,0.8227127145274353
3,0.7886149383611313,0.7905909351692484,0.8631858834904521
4,0.8004290548706792,0.803073745221359,0.8895939086294417
5,0.7841582064297801,0.7829098437794091,0.8467639593908629
6,0.79832910321489,0.8007902282283668,0.847881919265168
7,0.8020152588224566,0.8029086305642621,0.8671996109304234
8,0.802212833216815,0.8013341419041844,0.8723213471534089
9,0.7738095238095237,0.7748883374689826,0.8760325558794947
10,0.7874149659863945,0.7894931643109949,0.877323250728863
