fold,recall_macro,f1_macro,auc
1,0.8093434343434344,0.8088922571681192,0.897979797979798
2,0.7477249747219413,0.7350161812297735,0.82103134479272
3,0.8083923154701719,0.8086021505376344,0.8452982810920121
4,0.7780586450960566,0.7745694022289766,0.8796764408493428
5,0.8121840242669363,0.8081166772352568,0.8447927199191102
6,0.7641557128412538,0.7639257294429709,0.8417593528816987
7,0.7488372093023257,0.7488323819408407,0.8253229974160206
8,0.7529715762273902,0.7467294610151753,0.8558139534883721
9,0.8080103359173126,0.8065934065934066,0.922997416020672
10,0.7012919896640827,0.6968733439321675,0.8325581395348837
