fold,recall_macro,f1_macro,auc
1,0.5,0.291866028708134,0.4944727090006909
2,0.5493859649122806,0.4926585047751273,0.5707649122807017
3,0.5056225720711511,0.3602437166793603,0.369939685135964
4,0.5,0.3975308641975308,0.562111801242236
5,0.5,0.3222222222222222,0.7406384698275862
6,0.5446219528990497,0.5175270436806791,0.5371849607492081
7,0.5486024196912808,0.5310983334957606,0.5352523988318731
8,0.5,0.2135922330097087,0.6982537236774524
9,0.4899022108843537,0.4627415656731084,0.5906675170068028
10,0.6370370370370371,0.6376907073509015,0.7363854595336077
