fold,recall_macro,f1_macro,auc
1,0.4803030303030303,0.4461580086580087,0.5805555555555557
2,0.5386702849389416,0.5350052246603971,0.3619402985074627
3,0.7480533926585095,0.7224532224532225,0.82146829810901
4,0.4090225563909774,0.1733746130030959,0.5368421052631579
5,0.6707193515704154,0.659438775510204,0.74822695035461
6,0.4992416582406471,0.3439102564102564,0.8602123356926188
7,0.6985294117647058,0.531124106562703,0.751470588235294
8,0.6973684210526316,0.5703125,0.680921052631579
9,0.5,0.3383458646616541,0.6909560723514212
10,0.796875,0.6968733439321675,0.859375
