fold,recall_macro,f1_macro,auc
1,0.778016588968941,0.7785462929256158,0.8810316643458256
2,0.6906156156156156,0.6739028213166145,0.7874474474474475
3,0.7565413533834586,0.7560471909943602,0.8540751879699249
4,0.6960492266955527,0.6910658307210031,0.7632845880724559
5,0.6711128048780488,0.6724330011759609,0.749344512195122
6,0.6737653197427497,0.6739028213166145,0.7504702099259798
7,0.7150772592476978,0.694942127794514,0.8328234743249572
8,0.7529404404404405,0.7596968091609275,0.80370995995996
9,0.6948448834696712,0.6963616094050877,0.7642537428615527
10,0.6731755424063116,0.6708265509133658,0.7570019723865877
