fold,recall_macro,f1_macro,auc
1,0.7733333333333333,0.5792547274749722,0.8866666666666667
2,0.5907407407407408,0.5553832902670113,0.6383597883597885
3,0.6873104145601618,0.6850353892821031,0.768958543983822
4,0.7799277605779154,0.7858288770053476,0.9205366357069144
5,0.7351851851851852,0.7420289855072464,0.8248677248677249
6,0.7436224489795918,0.729483282674772,0.8035714285714285
7,0.7642595499738357,0.7682605682605683,0.8058608058608059
8,0.6378947368421053,0.6178660049627791,0.756578947368421
9,0.6459627329192547,0.6206896551724138,0.708592132505176
10,0.647978436657682,0.6451612903225806,0.6700808625336927
