fold,recall_macro,f1_macro,auc
1,0.6019592476489029,0.5724454856730943,0.669717868338558
2,0.6661033978808915,0.6672121566335476,0.7093685300207039
3,0.7964393939393939,0.7957872134518842,0.8729393939393939
4,0.7518789869260405,0.7584736416439968,0.8060853912713952
5,0.6950375939849625,0.6804147465437788,0.780451127819549
6,0.7458333333333333,0.7476958525345623,0.8408787878787878
7,0.6415752741774676,0.6396502603399155,0.6799148010513913
8,0.689336978810663,0.6913501988128854,0.7748266770823162
9,0.6887573964497042,0.6803536821705426,0.7585647094522834
10,0.6511825348696179,0.6483516483516484,0.7214523953911461
