fold,recall_macro,f1_macro,auc
1,0.8089887640449438,0.4569444444444444,0.6217228464419476
2,0.6273637374860956,0.5729797979797979,0.71412680756396
3,0.8234649122807017,0.8026092628832355,0.9276315789473684
4,0.6271367521367521,0.623765295591921,0.6808226495726496
5,0.7079538554948391,0.7272727272727273,0.7850637522768671
6,0.6730769230769231,0.6583850931677019,0.748130341880342
7,0.5606060606060606,0.5151515151515151,0.6012396694214877
8,0.6181818181818182,0.6060606060606061,0.6055096418732783
9,0.7261835184102864,0.7156904059558926,0.814728229105786
10,0.5778947368421052,0.5628287551139685,0.5536842105263158
