fold,recall_macro,f1_macro,auc
1,0.731565656565657,0.727551020408163,0.806060606060606
2,0.73154701718908,0.73030303030303,0.823053589484328
3,0.781092012133468,0.770381836945304,0.882204246713852
4,0.728513650151668,0.728658536585366,0.825075834175935
5,0.738624873609707,0.738268763585219,0.837209302325581
6,0.674165824064712,0.673992673992674,0.747219413549039
7,0.796382428940569,0.795348837209302,0.8671834625323
8,0.762015503875969,0.761332816737698,0.853229974160207
9,0.712919896640827,0.70957095709571,0.865116279069767
10,0.765116279069767,0.756039603960396,0.834625322997416
