fold,recall_macro,f1_macro,auc
1,0.787121212121212,0.786084756483239,0.856060606060606
2,0.779575328614762,0.772959183673469,0.866531850353893
3,0.736097067745197,0.724458204334365,0.864004044489383
4,0.742416582406471,0.741573033707865,0.853892821031345
5,0.68958543983822,0.682142857142857,0.841253791708797
6,0.742416582406471,0.741573033707865,0.812436804853387
7,0.762015503875969,0.761332816737698,0.845994832041344
8,0.774677002583979,0.771665801764401,0.82687338501292
9,0.795865633074935,0.795454545454545,0.887855297157623
10,0.718604651162791,0.712906172517291,0.786046511627907
