fold,recall_macro,f1_macro,auc
1,0.797474747474747,0.797522750252781,0.858585858585859
2,0.789686552072801,0.785542168674699,0.842770475227502
3,0.70273003033367,0.688932038834951,0.762639029322548
4,0.741658240647118,0.741442465580397,0.849595551061679
5,0.746966632962588,0.736787964510737,0.869312436804853
6,0.75252780586451,0.75252780586451,0.846814964610718
7,0.784237726098191,0.784063024667442,0.845994832041344
8,0.760981912144703,0.761085972850679,0.844961240310077
9,0.782687338501292,0.782716049382716,0.888113695090439
10,0.739793281653747,0.738332255979315,0.830749354005168
