fold,recall_macro,f1_macro,auc
1,0.796464646464646,0.794615384615385,0.881313131313131
2,0.768958543983822,0.764550264550265,0.889282103134479
3,0.5,0.340740740740741,0.739130434782609
4,0.708291203235591,0.707828282828283,0.833670374115268
5,0.760364004044489,0.75967596759676,0.875631951466127
6,0.702982810920121,0.699324324324324,0.796764408493428
7,0.687596899224806,0.670686070686071,0.861498708010336
8,0.783720930232558,0.783839689722043,0.851162790697674
9,0.747286821705426,0.745263157894737,0.895090439276486
10,0.737726098191214,0.737789869154035,0.838759689922481
