fold,recall_macro,f1_macro,auc
1,0.751767676767677,0.750255102040816,0.868181818181818
2,0.768958543983822,0.764550264550265,0.888776541961577
3,0.733063700707786,0.729483282674772,0.842264914054601
4,0.695146612740142,0.695244134432467,0.827603640040445
5,0.63169868554095,0.609649122807018,0.854398382204247
6,0.682002022244692,0.680512820512821,0.796764408493428
7,0.677002583979328,0.664488017429194,0.86046511627907
8,0.77312661498708,0.772727272727273,0.842894056847545
9,0.829715762273902,0.829523440526928,0.902842377260982
10,0.748320413436693,0.747916666666667,0.837726098191214
