fold,recall_macro,f1_macro,auc
1,0.786616161616162,0.786516853932584,0.854040404040404
2,0.766430738119313,0.763567362428842,0.827098078867543
3,0.699696663296259,0.695244134432467,0.815470171890799
4,0.742416582406471,0.741573033707865,0.826592517694641
5,0.727755308392316,0.727551020408163,0.829120323559151
6,0.738624873609707,0.738268763585219,0.809908998988878
7,0.689664082687338,0.684000531985636,0.855813953488372
8,0.784237726098191,0.784063024667442,0.854780361757106
9,0.793798449612403,0.79375,0.897674418604651
10,0.705426356589147,0.704392764857881,0.825839793281654
