fold,recall_macro,f1_macro,auc
1,0.77550505050505,0.775252525252525,0.871212121212121
2,0.769464105156724,0.75967596759676,0.88169868554095
3,0.686552072800809,0.685353535353535,0.813953488372093
4,0.811425682507583,0.808602150537634,0.888776541961577
5,0.834681496461072,0.830691185795815,0.898887765419616
6,0.762639029322548,0.762967660114141,0.859453993933266
7,0.738759689922481,0.738602608807956,0.8656330749354
8,0.749870801033592,0.749870801033592,0.858397932816537
9,0.794315245478036,0.79449922158796,0.88733850129199
10,0.798449612403101,0.792778649921507,0.863565891472868
