fold,recall_macro,f1_macro,auc
1,0.718181818181818,0.716813032964236,0.814141414141414
2,0.747977755308392,0.745582120582121,0.874620829120324
3,0.842517694641052,0.842517694641052,0.866531850353893
4,0.748736097067745,0.747420020639835,0.906471183013144
5,0.738624873609707,0.738268763585219,0.859453993933266
6,0.795247724974722,0.795663265306122,0.838725985844287
7,0.747803617571059,0.746729461015175,0.858397932816537
8,0.701291989664083,0.696873343932167,0.851162790697674
9,0.816537467700258,0.816666666666667,0.934366925064599
10,0.783720930232558,0.783839689722043,0.883204134366925
