fold,recall_macro,f1_macro,auc
1,0.788131313131313,0.782563970682783,0.873232323232323
2,0.754802831142568,0.75252780586451,0.856420626895854
3,0.747724974721941,0.735016181229774,0.855915065722952
4,0.807633973710819,0.808116677235257,0.914054600606673
5,0.780333670374115,0.771794871794872,0.844287158746208
6,0.754802831142568,0.75252780586451,0.83164812942366
7,0.774677002583979,0.771665801764401,0.858397932816537
8,0.754521963824289,0.741452991452991,0.859431524547804
9,0.82015503875969,0.817332641411521,0.91266149870801
10,0.794315245478036,0.79449922158796,0.859431524547804
