dataset,model,encoding,num_folds,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,r2_mean,r2_std,rmse_mean,rmse_std
DataB,DESC_SVM,Original scalar codes,10,0.757800911031447,0.035697357688493074,0.7493786315844628,0.040375025274879524,0.840482172585307,0.029143161216080633,0.5324124315843957,0.09444496145166187,1.8228395798991859,0.22796253260694718
DataB,DESC_SVM,Fixed one-hot,10,0.7528375003830007,0.033288383748522866,0.7490150405523595,0.035368602585579494,0.8440949944337206,0.029314488473742895,0.5408314957426388,0.10103514096486405,1.8047022390690848,0.2390885598093171
DataB,ECFP_GB,Original scalar codes,10,0.7583402784161126,0.04485534720972988,0.7551103778626002,0.0463449689963662,0.8427574531972913,0.029413905337419922,0.631931699195081,0.09225581099948178,1.612715042767039,0.19686589120631307
DataB,ECFP_GB,Fixed one-hot,10,0.7598744267753367,0.029133639589655057,0.7568952496598227,0.03252238956766419,0.8439537437060187,0.03272834293433231,0.6303070463087495,0.10023031667639419,1.615084348643633,0.2122314081496215
DataB,GCN,Original scalar codes,10,0.7366438398137084,0.052736937334520895,0.7328342417739542,0.054937648721964896,0.8416456271511883,0.034054015921919374,0.5286263838008329,0.12631747614486902,1.8200667457369968,0.2759775466721963
DataB,GCN,Fixed one-hot,10,0.7290802616662072,0.05785205431206234,0.7244350124368221,0.06305131304481984,0.8521917353514927,0.030375323922367487,0.5475888938571118,0.13129764477358077,1.7820533937149758,0.27839245689418046
DataB,GIN,Original scalar codes,10,0.7422988990001124,0.038949059847829155,0.7373462859690414,0.04269426499691314,0.8363748199895824,0.039718723441589644,0.5433375387169066,0.13867849617042494,1.7884941675456758,0.29679317819392137
DataB,GIN,Fixed one-hot,10,0.7434666942427306,0.03817181042225584,0.74189274900061,0.03955499371366567,0.8396339022173199,0.026168155420705087,0.5849142479059121,0.10428403282117517,1.7126418476525949,0.24319268171436478
DataB,GAT,Original scalar codes,10,0.7260558313161953,0.025845102532598876,0.7225847206950078,0.027111705331822365,0.8401387995220148,0.03209770399086831,0.5154090310374504,0.13185224171006318,1.8427392010100712,0.2582671427654251
DataB,GAT,Fixed one-hot,10,0.7193391958002673,0.0848950012399942,0.7004313752112644,0.1321498936533268,0.8462304031212019,0.047986461259584834,0.5604634085649443,0.1445565359962934,1.751013933222789,0.297709956366659
DataB,CHIENN,Original scalar codes,10,0.7388077437672989,0.034178545466551816,0.7313118680231351,0.03656036162326226,0.8240766614578545,0.030582970890404834,0.5302198450310617,0.10935822956826712,1.8213559540354762,0.2156628653013859
DataB,CHIENN,Fixed one-hot,10,0.7421943142241425,0.035400534337642627,0.7391448076822862,0.033920040368752936,0.834097803106903,0.03841924556684461,0.5503770970385575,0.09216932715340778,1.7826643563447842,0.16086356912298624
DataB,RXNFP,Original scalar codes,10,0.7704120578893076,0.020894756942962247,0.7701441803551939,0.021106436022830737,0.8582157775939372,0.03542203046686095,0.5784384674885222,0.12558297764951507,1.71910684051188,0.2387787436651488
DataB,RXNFP,Fixed one-hot,10,0.7640639968951395,0.044369693835636305,0.7630374059054637,0.045500666403796144,0.8687077039352064,0.03393325059958404,0.5821315849717099,0.11349820604530186,1.7134638534367148,0.21236724421440023
DataB,MFP_MLP,Original scalar codes,10,0.763701422720634,0.04159778384700933,0.7602841156481178,0.0436698990078289,0.8476340758443893,0.033715028616850315,0.6462088761702791,0.05642780313015032,1.5846797931395464,0.11912326509707201
DataB,MFP_MLP,Fixed one-hot,10,0.7721662785590997,0.04174385113538837,0.7698294306001425,0.04086830766634008,0.8688917996956418,0.023714126141053345,0.6721210676841297,0.06671370248287328,1.5243197617177402,0.15834442223863612
DataB,CHIMERA,Original scalar codes,10,0.7730970217850905,0.03682410688145953,0.7698150991324321,0.0386049621765909,0.8567230443974628,0.03327105820348255,0.649623081403875,0.0924891613637618,1.57168955333506,0.21923102826995103
DataB,CHIMERA,Fixed one-hot,10,0.7777098844869319,0.024908074806032007,0.7727497968888579,0.027950476608355992,0.8665480385247823,0.026925603426799956,0.6530124510359642,0.0988491002513145,1.563757112320216,0.2452330574429677
