fold,recall_macro,f1_macro,auc
1,0.7972222222222223,0.797112462006079,0.9090909090909091
2,0.7990394337714863,0.7977272727272727,0.9019211324570273
3,0.6701213346814965,0.6501572327044025,0.846309403437816
4,0.8425176946410515,0.8425176946410515,0.9089989888776542
5,0.7633973710819009,0.7635673624288425,0.8741152679474218
6,0.7656723963599595,0.7639257294429709,0.846309403437816
7,0.7361757105943152,0.7344877344877345,0.8475452196382429
8,0.7847545219638243,0.7840630246674416,0.8630490956072352
9,0.7762273901808785,0.7684210526315789,0.9074935400516796
10,0.7392764857881138,0.7386026088079556,0.8459948320413437
