Dataset,Model,REC,F1,AUC,R2,RMSE
Data A,DESC_SVM,0.751 ± 0.015,0.752 ± 0.015,0.822 ± 0.019,0.423 ± 0.086,0.741 ± 0.055
Data A,ECFP_GB,0.763 ± 0.024,0.765 ± 0.024,0.853 ± 0.018,0.343 ± 0.025,0.793 ± 0.035
Data A,GCN,0.738 ± 0.024,0.738 ± 0.025,0.820 ± 0.028,0.269 ± 0.075,0.836 ± 0.057
Data A,GIN,0.764 ± 0.024,0.764 ± 0.024,0.842 ± 0.018,0.312 ± 0.041,0.811 ± 0.038
Data A,GAT,0.741 ± 0.020,0.741 ± 0.020,0.826 ± 0.023,0.234 ± 0.063,0.855 ± 0.046
Data A,CHIENN,0.720 ± 0.029,0.719 ± 0.032,0.815 ± 0.025,0.205 ± 0.080,0.873 ± 0.072
Data A,RXNFP,0.775 ± 0.013,0.776 ± 0.013,0.856 ± 0.018,0.374 ± 0.058,0.774 ± 0.049
Data A,MFP_MLP,0.783 ± 0.021,0.783 ± 0.022,0.860 ± 0.016,0.404 ± 0.043,0.755 ± 0.040
Data A,CHIMERA,0.787 ± 0.026,0.788 ± 0.027,0.864 ± 0.020,0.445 ± 0.069,0.728 ± 0.045
Data B,DESC_SVM,0.758 ± 0.036,0.749 ± 0.040,0.840 ± 0.029,0.532 ± 0.094,1.823 ± 0.228
Data B,ECFP_GB,0.758 ± 0.045,0.755 ± 0.046,0.843 ± 0.029,0.632 ± 0.092,1.613 ± 0.197
Data B,GCN,0.737 ± 0.053,0.733 ± 0.055,0.842 ± 0.034,0.529 ± 0.126,1.820 ± 0.276
Data B,GIN,0.742 ± 0.039,0.737 ± 0.043,0.836 ± 0.040,0.543 ± 0.139,1.788 ± 0.297
Data B,GAT,0.726 ± 0.026,0.723 ± 0.027,0.840 ± 0.032,0.515 ± 0.132,1.843 ± 0.258
Data B,CHIENN,0.739 ± 0.034,0.731 ± 0.037,0.824 ± 0.031,0.530 ± 0.109,1.821 ± 0.216
Data B,RXNFP,0.770 ± 0.021,0.770 ± 0.021,0.858 ± 0.035,0.578 ± 0.126,1.719 ± 0.239
Data B,MFP_MLP,0.764 ± 0.042,0.760 ± 0.044,0.848 ± 0.034,0.646 ± 0.056,1.585 ± 0.119
Data B,CHIMERA,0.773 ± 0.037,0.770 ± 0.039,0.857 ± 0.033,0.650 ± 0.092,1.572 ± 0.219
