Dataset,Variant,REC,F1,AUC,R2,RMSE
Data A,CHIMERA (full),0.787 ± 0.026,0.788 ± 0.027,0.864 ± 0.020,0.445 ± 0.069,0.728 ± 0.045
Data A,w/o Interaction,0.794 ± 0.020,0.795 ± 0.021,0.869 ± 0.017,0.424 ± 0.085,0.741 ± 0.059
Data A,w/o Motifs,0.791 ± 0.022,0.791 ± 0.022,0.872 ± 0.014,0.437 ± 0.088,0.732 ± 0.058
Data A,w/o Fingerprint,0.738 ± 0.024,0.738 ± 0.024,0.818 ± 0.024,0.309 ± 0.059,0.813 ± 0.054
Data A,w/o Atom-level Graph,0.790 ± 0.018,0.791 ± 0.018,0.868 ± 0.015,0.423 ± 0.078,0.742 ± 0.054
Data B,CHIMERA (full),0.773 ± 0.037,0.770 ± 0.039,0.857 ± 0.033,0.650 ± 0.092,1.572 ± 0.219
Data B,w/o Interaction,0.761 ± 0.039,0.753 ± 0.045,0.859 ± 0.034,0.643 ± 0.086,1.587 ± 0.191
Data B,w/o Motifs,0.756 ± 0.035,0.753 ± 0.037,0.851 ± 0.035,0.654 ± 0.102,1.559 ± 0.215
Data B,w/o Fingerprint,0.757 ± 0.024,0.753 ± 0.025,0.855 ± 0.035,0.550 ± 0.121,1.783 ± 0.285
Data B,w/o Atom-level Graph,0.768 ± 0.042,0.764 ± 0.043,0.864 ± 0.031,0.650 ± 0.082,1.574 ± 0.194
